114 Grocery & Deli Incorporated,"[40.6541285, -73.8866072]"
1st Oriental Supermarket,"[28.55033, -81.45044399999999]"
1st Oriental Supermarket,"[28.6130087, -81.43873560000002]"
A & A Fine Foods,"[40.9233389, -74.3058171]"
A & G Fine Foods Incorporated,"[40.567892, -74.500084]"
A & P Food Stores,"[41.6704908, -72.8944769]"
A & P Food Stores,"[41.631075, -72.744996]"
A & P Food Stores,"[41.6287838, -72.74575639999999]"
A & P Food Stores,"[41.6947643, -72.71904479999999]"
A & P Food Stores,"[41.3224426, -72.338017]"
A & P Food Stores,"[41.3440136, -71.93016399999999]"
A & P Food Stores,"[41.2737671, -72.8322771]"
A & P Food Stores,"[41.5562731, -72.680989]"
A & P Food Stores,"[41.323491, -72.85488269999999]"
A & P Food Stores,"[41.1827669, -73.2056502]"
A & P Food Stores,"[41.4726885, -73.04296699999999]"
A & P Food Stores,"[41.3883932, -73.4464345]"
A & P Food Stores,"[41.4128438, -73.4564942]"
A & P Food Stores,"[41.2902039, -73.49697499999999]"
A & P Food Stores,"[41.1098305, -73.5463323]"
A & P Food Stores,"[39.44940649999999, -75.71729599999999]"
A & P Food Stores,"[31.4406124, -84.72508719999999]"
A & P Food Stores,"[41.9909891, -87.6796899]"
A & P Food Stores,"[40.1700294, -86.0132734]"
A & P Food Stores,"[41.0514628, -86.6029585]"
A & P Food Stores,"[29.9581831, -90.0647868]"
A & P Food Stores,"[39.2254396, -76.6853951]"
A & P Food Stores,"[32.3270227, -90.20105989999999]"
A & P Food Stores,"[36.1051305, -77.7110459]"
A & P Food Stores,"[35.246187, -81.2116259]"
A & P Food Stores,"[42.7668904, -71.46200859999999]"
A & P Food Stores,"[40.6539506, -74.13596079999999]"
A & P Food Stores,"[40.7976587, -74.1798799]"
A & P Food Stores,"[40.9086562, -74.39695739999999]"
A & P Food Stores,"[40.8209576, -73.9920935]"
A & P Food Stores,"[40.8195888, -74.00201]"
A & P Food Stores,"[40.8819724, -74.11618039999999]"
A & P Food Stores,"[40.7454203, -74.033963]"
A & P Food Stores,"[40.6760462, -74.2820976]"
A & P Food Stores,"[40.7375993, -74.26662499999999]"
A & P Food Stores,"[40.8365149, -74.2066652]"
A & P Food Stores,"[40.8191566, -74.0182145]"
A & P Food Stores,"[40.7645326, -74.0441495]"
A & P Food Stores,"[40.844628, -74.1063317]"
A & P Food Stores,"[40.6153743, -74.496889]"
A & P Food Stores,"[40.618939, -74.296386]"
A & P Food Stores,"[40.5785848, -74.3897192]"
A & P Food Stores,"[40.5660513, -74.2877577]"
A & P Food Stores,"[40.7330872, -74.0374482]"
A & P Food Stores,"[41.0289552, -74.1281256]"
A & P Food Stores,"[41.1530301, -74.3537987]"
A & P Food Stores,"[40.888236, -74.2151812]"
A & P Food Stores,"[41.0992549, -74.14473219999999]"
A & P Food Stores,"[40.9831336, -74.14042169999999]"
A & P Food Stores,"[41.0369941, -74.5036052]"
A & P Food Stores,"[40.9679005, -74.28266959999999]"
A & P Food Stores,"[41.2038074, -74.5999896]"
A & P Food Stores,"[41.215534, -74.551643]"
A & P Food Stores,"[41.1944643, -74.4834879]"
A & P Food Stores,"[40.9309062, -74.22652699999999]"
A & P Food Stores,"[40.9697174, -73.9622352]"
A & P Food Stores,"[40.8755599, -74.0858733]"
A & P Food Stores,"[40.8480068, -73.9843846]"
A & P Food Stores,"[41.03642869999999, -74.0299204]"
A & P Food Stores,"[40.8993197, -74.09224499999999]"
A & P Food Stores,"[41.0137933, -73.9837871]"
A & P Food Stores,"[40.9865101, -74.0627834]"
A & P Food Stores,"[41.0430812, -74.0709523]"
A & P Food Stores,"[40.1802012, -74.02822309999999]"
A & P Food Stores,"[40.3158698, -74.0698366]"
A & P Food Stores,"[40.414708, -74.1443652]"
A & P Food Stores,"[40.339079, -74.0403858]"
A & P Food Stores,"[40.315663, -74.2753589]"
A & P Food Stores,"[40.43754149999999, -74.2254528]"
A & P Food Stores,"[40.9872863, -74.9828852]"
A & P Food Stores,"[40.98368960000001, -74.9970369]"
A & P Food Stores,"[40.7266122, -74.8453217]"
A & P Food Stores,"[40.8949232, -74.48426959999999]"
A & P Food Stores,"[40.831221, -74.707385]"
A & P Food Stores,"[40.8639488, -74.5698075]"
A & P Food Stores,"[39.7687356, -74.21160309999999]"
A & P Food Stores,"[40.0585761, -74.1403622]"
A & P Food Stores,"[39.9489797, -74.07346969999999]"
A & P Food Stores,"[40.5672247, -74.5386808]"
A & P Food Stores,"[40.60743069999999, -74.4678465]"
A & P Food Stores,"[40.4319364, -74.3911852]"
A & P Food Stores,"[40.5123258, -74.85933179999999]"
A & P Food Stores,"[40.5365162, -74.346977]"
A & P Food Stores,"[40.5414864, -74.3633751]"
A & P Food Stores,"[40.4646458, -74.4510056]"
A & P Food Stores,"[40.7522844, -73.98432199999999]"
A & P Food Stores,"[40.5221133, -74.21528959999999]"
A & P Food Stores,"[41.4196815, -73.5778524]"
A & P Food Stores,"[41.4036036, -73.66316979999999]"
A & P Food Stores,"[41.4130236, -73.66916479999999]"
A & P Food Stores,"[41.228372, -73.9077825]"
A & P Food Stores,"[41.2932958, -73.6759706]"
A & P Food Stores,"[41.2519589, -73.6837034]"
A & P Food Stores,"[40.9566943, -73.736845]"
A & P Food Stores,"[41.3097571, -73.8685193]"
A & P Food Stores,"[40.92505939999999, -73.8375873]"
A & P Food Stores,"[41.0387184, -73.8067109]"
A & P Food Stores,"[41.0418448, -73.7965926]"
A & P Food Stores,"[40.9522537, -73.8271544]"
A & P Food Stores,"[40.938992, -73.8339115]"
A & P Food Stores,"[41.200886, -74.000616]"
A & P Food Stores,"[41.1377089, -73.98970609999999]"
A & P Food Stores,"[40.6919077, -73.5274409]"
A & P Food Stores,"[40.8039698, -73.4111662]"
A & P Food Stores,"[41.5431246, -73.87859259999999]"
A & P Food Stores,"[41.5807061, -73.8121786]"
A & P Food Stores,"[41.5169024, -73.5919397]"
A & P Food Stores,"[41.540682, -75.955187]"
A & P Food Stores,"[29.5157005, -97.4383232]"
A G Ferrari Foods,"[37.51974999999999, -122.275535]"
A G Ferrari Foods,"[37.7614174, -122.4353332]"
A G Ferrari Foods,"[37.443922, -122.161247]"
A G Ferrari Foods,"[37.8581775, -122.2529371]"
Acme Markets,"[39.7745815, -75.711259]"
Acme Markets,"[39.4484377, -75.6977589]"
Acme Markets,"[39.7808787, -75.5434909]"
Acme Markets,"[39.7687068, -75.5433824]"
Acme Markets,"[39.7877886, -75.545047]"
Acme Markets,"[39.7572081, -75.5637885]"
Acme Markets,"[39.7340656, -75.6235365]"
Acme Markets,"[39.7400068, -75.6938026]"
Acme Markets,"[39.8237054, -75.5004354]"
Acme Markets,"[38.5485948, -75.5679706]"
Acme Markets,"[39.4924084, -76.3928413]"
Acme Markets,"[38.7712439, -76.07336699999999]"
Acme Markets,"[38.7799747, -76.0817606]"
Acme Markets,"[39.0399126, -76.05601759999999]"
Acme Markets,"[38.9752563, -76.2997729]"
Acme Markets,"[39.2248741, -76.06892409999999]"
Acme Markets,"[38.78583130000001, -76.2246461]"
Acme Markets,"[39.6016633, -75.8259771]"
Acme Markets,"[40.8409885, -74.15803509999999]"
Acme Markets,"[40.67118980000001, -74.2531006]"
Acme Markets,"[40.6854008, -74.09913039999999]"
Acme Markets,"[40.691482, -74.09205399999999]"
Acme Markets,"[40.3146917, -74.06576199999999]"
Acme Markets,"[40.3606849, -74.0421465]"
Acme Markets,"[40.219372, -74.2635993]"
